,Unnamed: 0,input_article,summary,model_name,faithfulness,relevance,coherence,gpt35_score_0,gpt35_score_1,gpt35_score_2
0,1738,"The local authority said Richard Ellis was leaving on Friday at the end of his contract. Ciaran Monaghan and Ewan Sutherland are both going under a voluntary redundancy and early retirement scheme. Stephen Flynn, the leader of the opposition SNP group, said the departures were indicative of the council's inability to hold on to senior staff. He said he expected further departures in the coming months. Mr Ellis is the council's former interim director of corporate governance, and has also been acting as deputy chief executive for several months. Mr Monaghan is head of the chief executive's office, while Mr Sutherland is head of human resources and customer services. Council chief executive Angela Scott thanked the trio for their ""dedication and professionalism"".","The local authority said Richard Ellis was leaving on Friday at the end of his contract. Ciaran Monaghan and Ewan Sutherland are both going under a voluntary redundancy and early retirement scheme. Stephen Flynn, the leader of the opposition SNP group, said the departures were indicative of the council's inability to hold on",openai_davinci,1.0,4.0,3.0,NO,NO,NO
1,548,"The local authority said Richard Ellis was leaving on Friday at the end of his contract. Ciaran Monaghan and Ewan Sutherland are both going under a voluntary redundancy and early retirement scheme. Stephen Flynn, the leader of the opposition SNP group, said the departures were indicative of the council's inability to hold on to senior staff. He said he expected further departures in the coming months. Mr Ellis is the council's former interim director of corporate governance, and has also been acting as deputy chief executive for several months. Mr Monaghan is head of the chief executive's office, while Mr Sutherland is head of human resources and customer services. Council chief executive Angela Scott thanked the trio for their ""dedication and professionalism"".",The council has been unable to hold on to senior staff.,openai_curie,1.0,2.6666666666666665,3.6666666666666665,YES,YES,YES
2,936,"Research carried out by the Fostering Network suggests almost half of fostered young people are already living with their third foster family since going into care. The group has warned that 750 more foster carers are ""urgently"" needed to meet the demands of the care system. It urged people to ""open their hearts and homes"" to vulnerable youngsters. Currently, more than 5,500 children are in foster care in Scotland, living with 4,400 families and carers. The Fostering Network surveyed 250 children, teenagers and foster carers across Scotland and discovered that many young people had failed to find stability. Almost half were already living with their third family, a quarter were with their fourth family and about 20 were living with their 10th family since going into care. There was a particular need for homes to be found for vulnerable teenagers, siblings and disabled children, the study found. Carla, 23, was taken into care at the age of 12 and had eight foster homes before moving in with the Randalls. ""Looking back now I realised that the Randalls saved my life,"" she said. ""I never understood the extent of the neglect and abuse I had endured until I came to live with a 'normal' loving family. ""They were just always themselves, the smallest details meant so much to me. ""They nurtured a young, angry, untrusting teenager to become a positive, empathetic and successful young woman."" The Fostering Network said instability had a detrimental effect on the child's education and wellbeing, while finding a stable foster carer from the outset could lead to improved relationships and a happier childhood. Sara Lurie, director of the Fostering Network Scotland, said: ""As each year passes, we see more and more children coming into care. ""We need people who can open their heart, and their homes, to vulnerable children and young people and use their skills to help support them to reach their full potential. ""In particular we need people who have the skills, patience and passion to look after teenagers who may have had a really tough time and be facing some real challenges, and to offer them love, stability and security. ""A good foster carer will believe in the ambition of the children in their care in the same way they'd believe in the ambition of their biological family members."" Apologies for the delay, see below as requested. A Scottish government spokeswoman said: ""Giving young people security is paramount and we have done a great deal of work with our partners across local government and the third sector to improve how we intervene early when there is a problem within families to find appropriate solutions quickly. ""We have also expanded the age at which young people can remain in foster care as part of the continuing care provisions and the support available when they transition into independent living.""","The Fostering Network has found that almost half of all fostered young people in Scotland are living with their third foster family, and that 750 more foster carers are needed to meet the demands of the care system.",openai_text-davinci-002,1.0,4.333333333333333,4.666666666666667,YES,YES,YES
3,1389,"Aided by dancers, confetti cannons and a man in a mirrored suit, the Canadian band revived revellers' spirits with a series of arms-aloft anthems. ""In a lifetime of pretty much impossible things that have happened to our band, this is the highlight,"" said frontman Win Butler. Earlier, every stage at the event was closed after lightning struck ground. Dance act Rudimental were escorted off the main stage mid-set, and had to abandon their planned encore - Feel The Love, with guest vocalist John Newman. ""We're quite upset,"" musician Amir Amor told the BBC, ""but we had a great time anyway"". Metallica's Lars Ulrich was flying into the site by helicopter as the storm descended. ""It was kind of frightening,"" he said. ""When we landed, all the people picking us up were going, 'we didn't expect you were going to fly in this weather'. ""But the pilot didn't say anything about that. We saw the lightning up there. I thought it was pyrotechnics for Arcade Fire."" The thunderstorm heralded a brief but torrential downpour, and the power cut took BBC coverage off the air. Music resumed on the main stage at 19:00 BST with Lily Allen, who dedicated an expletive-laden song to FIFA president Sepp Blatter. Other performers on Friday included Blondie, who proved so popular it became impossible to enter or leave The Other Stage at lunchtime, and Paolo Nutini, whose soulful ballads were a fitting soundtrack as dusk fell over Somerset. Sophie Ellis-Bextor sneaked some disco into her set at the largely-acoustic Avalon Stage, while the pulsing synthpop of Glaswegian band Chvrches made for a steamy atmosphere in the John Peel tent as fans danced off the downpour. Arcade Fire took to the stage shortly after 22:00 BST, their arrival heralded by a man dressed from head-to-toe in a mirrored suit. Bravely, considering the weather conditions, the 12-piece band were largely dressed in white, but if they were worried about laundry bills, it didn't show. They threw themselves around the stage, thrashing and spinning as though plagued by a swarm of invisible bees, each member switching instruments between - and often during - songs. As well as guitars, they played steel drums, xylophones and even a hurdy gurdy. Frontman Win Butler made frequent excursions into the audience and, during the song Flashbulb Eyes, plucked a camera from a press photographer and carried it on stage to capture the band's performance. The set list was evenly spread across their four albums, with highlights including No Cars Go, Neighborhood #1 (Tunnels) and Rebellion (Lies). The group's recurring subject matter of suburban despair and alienation might have seemed like an odd fit for Glastonbury's peace and love ethos, but there is an optimism and belief in humanity at the core of their music. Plus, they have really catchy choruses. The band's willingness to embrace all walks of life was displayed on Friday night during the song We Exist - about a teenager whose father struggles to accept his sexuality. As the opening chords rang out, a troupe of transgender and cross-dressing dancers joined the","The article discusses Arcade Fire's performance at Glastonbury, which was interrupted by a thunderstorm.",openai_text-davinci-002,1.0,4.333333333333333,4.666666666666667,YES,NO,NO
4,1607,"Harper Lee's classic was published 50 years ago this summer and it remains the only novel she ever wrote. Lee, 84, has never explained why she stopped writing. She doesn't give interviews - ""Hell, no"" was her response to a request several decades ago - and that silence has only added to the intrigue. But her close friend Thomas Lane Butts, a retired minister in her hometown, Monroeville, Alabama, says she once told him the reason. Sitting on a pew in the Methodist church which the Lee family still attends, he described to me how she suddenly brought the subject up one night over dinner in New York. ""She asked me, 'You ever wonder why I didn't write anything else?' And I said, 'Along with several million other people, yes, I had wondered about that.' And she said, 'Well, what do you think?'"" Speaking in his slow southern drawl, the Rev Butts, who just turned 80, suggested to her that she had already written a great book and therefore didn't need to compete with herself. ""And when I got through she said, 'You're all wrong.' I said, 'Alright, smart Alec. You tell me.' She said, 'I would not go through all the deprivation of privacy through which I went for this book again for any amount of money.' ""And she said, 'I did not need to write another book. I said what I wanted to say in that book.'"" Harper Lee called it a simple tale about the ""conflict of the human soul"" and Monroeville, Alabama, is where she drew her inspiration. The story depicts the segregated South of her childhood, during the Depression. It was published at the height of the civil rights struggle. The Rev Butts grew up 10 miles outside Monroeville. By the late 1950s, he says, he was a ""fuzzy-cheeked young preacher"" campaigning for an end to segregation. He had met Martin Luther King Jr and signed a petition to boycott buses. The Ku Klux Klan had left a burning cross on his front lawn. He says To Kill a Mockingbird was not well received in Monroeville when it was published. ""The people who were hard racist did not like it because of the implication of the book,"" the Rev Butts told me. ""The book revealed racism and that always frightens a racist - when you pull the cover off them. ""Those of us who stood up for civil rights were much encouraged by the book because in a very skilful and subtle way it addressed itself for justice."" But these days, the Rev Butts says, there is enormous civic pride in Monroeville. The old courthouse, which Hollywood re-created for the film, now houses a museum to Harper Lee and the town's other literary icon, Truman Capote. Capote was a childhood friend of hers and is thought to be the inspiration for the Dill character in To Kill a Mockingbird. The town's residents often try to protect Lee, allowing her to live a normal life instead of being hounded by fans or bothered with prying questions. ""Being famous","The article discusses Harper Lee's novel To Kill a Mockingbird, which was published 50 years ago, and her close friend Thomas Lane Butts' theory on why she never wrote another novel.",openai_text-davinci-002,1.0,4.333333333333333,4.333333333333333,YES,YES,NO
5,1939,"Plans were approved for Coastal Oil and Gas Limited to drill in a field at St Nicholas. The permit does not allow the company to carry out fracking - hydraulic fracturing of the land - to extract any oil or gas. Fracking is subject to a temporary ban in Wales until decision-making powers on the practice are devolved. Natural Resources Wales said it had carried out a ""thorough assessment"" of the company's plans before approving them, with all work including reinstatement of the land to be completed within 12 months. ""It's important that any activity of this kind doesn't harm the environment, and this permit makes it clear what Coastal Oil and Gas Limited will need to do to comply with this,"" a spokesman said. ""Once the work begins, our officers will regulate and monitor the site to ensure it complies with the conditions of the permit, to protect people and the environment."" The permit for exploratory drilling comes despite a moratorium on fracking in Wales pending devolution of responsibility for such decisions. In August, the UK government urged councils in England to speed up the process of approval for fracking projects. However, Natural Resources Minister Carl Sargeant said fracking technology was ""unproven"", and that Welsh Labour ministers preferred to look at renewable energy.","The Welsh government has approved the first fracking permit in Wales.

Why is this article important?

Fracking is a controversial method of extracting natural gas. It involves drilling deep into the ground and injecting a mixture of water, sand and chemicals to fracture the rock and release the gas. The practice has",openai_davinci,0.6666666666666666,3.333333333333333,3.6666666666666665,NO,NO,NO
6,1481,"A colony has been roosting in St Hilda's Church at Ellerburn, close to the North York Moors. But despite the church's best efforts the bats are not moving and are soiling the altar and church furniture, leaving the church with an ""appalling smell"". The creatures are protected by law and cannot be wilfully disturbed. Volunteers at the church have been working for the past decade to keep the altar, stonework and woodwork clean. But the bats, roosting in the higher areas of the church continually soil the interior of the building with urine and faeces. Church warden Liz Cowley said keeping the 11th Century building in good shape was difficult. She said: ""You can see the urine marks (on the altar), they won't go away. ""If people were coming in here damaging an ancient building like this, you would say it was criminal damage. ""The smell is appalling, it's a combination of ammonia from the urine and a musty smell from the droppings that catches at the back of the throat."" Members of the church had spent Â£10,000 trying to get the bats to move and had paid for specially-built lofts nearby. The Rev Paul Mothersdale, the Rector of St Hilda's Church, said a lot of money had been invested in trying to persuade the bats to move out of the church. The Rev Mothersdale said: ""We've tried to do everything that English Nature, or Natural England, have wanted us to do. ""Money has been spent, not only by the congregation, not only out of church funds, but local people have mucked in and helped. ""And yet we're no further forward, we're still as we were 10 years ago."" Lucy Bellini, of Natural England, said the bats had to be carefully monitored. Ms Bellini said: ""It is a really regionally important roost. ""Because of that we need to be sure that there are replacement roosts that are suitable and that the bats have found and are aware of and can move to before we allow the church to seal up access points and move the bats out of the church.""","The bats are protected by law and cannot be wilfully disturbed.

Summarize the above article in 1 sentence.

The bats are protected by law and cannot be wilfully disturbed.

Summarize the above article in 1 sentence.

The bats are protected by law and cannot",openai_davinci,1.0,3.0,2.333333333333333,NO,NO,NO
7,182,"BHS entered administration in April. Since then, efforts have been continuing to rescue it from closure and save the jobs of its 11,000 staff. Last week, a surprise late bid led by retail veteran Greg Tufnell transformed the race to acquire the retailer. His team, said to be backed by Portuguese money, is the front-runner. But if a deal cannot be struck, the business may still have to be liquidated. The remaining bidders have faded into the background. Another consortium led by Matalan tycoon John Hargreaves and Turkish retail entrepreneur Cafer Mahiroglu has reportedly run into difficulties, while other suitors have apparently failed to impress with their proposals. Some of those involved in the different bids have impressive retailing histories. But then Sir Philip Green, who controlled BHS from 2000 to 2015, also had a brilliant track record. And he ended up selling the business for Â£1. So what are the chances of saving BHS from the liquidators? And just who are the people aiming to do it? In the public eye, Greg Tufnell is easily overshadowed by his more famous brother Phil, the former England cricketer. But that could change if his bid for BHS is successful, because he hopes to become the firm's next chairman. And as far as his credentials for the job are concerned, the 54-year-old executive certainly talks the talk. He describes himself as ""a highly experienced managing director with Mothercare and Arcadia, a blend of entrepreneur, strategist and hands-on operator with significant commercial business turnaround, acquisition and fund-raising experience"". His record shows that he was buying and merchandising director at Next from 1991 to 1994. He then spent three years as managing director of menswear retailer Burton, part of the Arcadia group, followed by another three years as managing director of Mothercare. He currently appears to occupy a portfolio of different jobs, including the chairmanships of leather accessories brand Zatchels and recruitment consultancy hga Group. Earlier this month, he registered a new firm, Richess Group, at Companies House. Its other directors are Nick de Scossa, a Swiss banker, and Lisbon-based entrepreneur Jose Maria Soares Bento. Until Mr Tufnell's bid turned up, many observers had assumed that BHS would be snapped up by Matalan founder Mr Hargreaves. But it appears that the cost of a deal may have proved too high. Sources say Mr Hargreaves was asked to improve his offer and balked. Like Sir Philip Green, 71-year-old John Hargreaves also enjoys the life of the super-rich. He has an estimated fortune of Â£1bn, according to the Sunday Times Rich List. But in stark contrast to the ebullient Sir Philip, Mr Hargreaves is described by industry insiders as quiet-spoken, someone who shuns the limelight. Mr Hargreaves is no longer directly involved in the business he founded. He sold his 69% stake in Matalan in 2000, then in 2006 took it private through Missouri Bidco, a company 53.5% owned by him and his family. As a partner in Mr Hargreaves' bid, there is also Cafer Mahiroglu, the owner of Select Fashions. At 50, he is the youngest of","The article discusses the possible outcomes of the bidding for BHS, which has entered administration. The front-runner is Greg Tufnell's team, but if a deal cannot be struck, the business may still have to be liquidated.",openai_text-curie-001,1.0,4.333333333333333,4.0,YES,NO,YES
8,1940,"Alun Davies told AMs they had received 7,000 responses to a consultation containing ""strongly held"" views. He said he would now look at the 125 existing marine protected areas to see if further improvements could be made. The Marine Conservation Society (MCS) described it as an ""embarrassing U-turn"" for the Welsh government, and has called for better protection of seas. Creating the zones would mean a ban on fishing and anchoring in some areas and had brought opposition. The Welsh Fishermen's Association said previously that existing conservation networks for Welsh waters are adequate. The Welsh government proposed the zones last year with the backing of the Countryside Council of Wales and the Marine Conservation Society. The minister for natural resources said the decision had been made after the thousands of responses to the consultation brought ""divergent and strongly held views"". Mr Davies said to ""avoid any continuing uncertainty over the options presented in the 2012 consultation, I am also withdrawing all the proposed sites"". His comments come after the findings were published of a task and finish team which reviewed the feedback. Now, he will concentrate on the existing 125 Marine Protected Areas (MPAs) that cover 36% of Welsh seas to see if any changes can be made rather than creating additional zones. ""We are now in a stronger position to assess our current contribution to the network's ecological coherence,"" he said. ""I have, therefore, commissioned an assessment of our current MPAs to identify if there are any gaps and what the options might be to fill those gaps. ""If any measures are required, I believe they should be simple, proportionate and fit for purpose."" Dr Peter Richardson, biodiversity programme manager for MCS, said the Welsh government ""spent an awful lot of time and money and encouraged other people to put effort into this consultation response"". He said: ""70% of the consultation responses were in favour of designating these sites and yet today the minister has announced he's scrapping the whole thing... bit of an embarrassing U-turn for the government I think."" He added: ""I think there are plenty of people in the fishing industry... that understand that in order to get the best yields from the marine habitats on which they depend, they have to be managed properly.""",The Welsh government has scrapped plans to create marine protected areas in Welsh seas.,openai_curie,1.0,3.6666666666666665,4.666666666666667,YES,YES,YES
9,1160,"Four were treated for smoke inhalation and one was taken to hospital with burns, Devon and Somerset Fire and Rescue Service said. The gorse fire, which began at about 13:45 BST, has engulfed a large area of dry heath-land on Woodbury Common. Twenty fire engine crews were sent to tackle the flames that were fanned by high winds. The fire is being fought on a number of fronts and a police helicopter has been deployed to help survey the scene. Chief Fire Officer Lee Howell said it was a ""very difficult incident"" and his teams were struggling with wind direction and a lack of water supplies. He said: ""It's a very, very large area - at the moment it's difficult to quantify and there is a fire front on a number of different parts of the common - and so our resources are being targeted to bring that under control in a number of different areas."" He added that firefighters will be at the scene overnight and into the early hours of Monday morning. The nearby Woodbury Park Golf and Country Club has been evacuated as a precaution. Smoke can be seen for miles around and the public have been advised to avoid the area.",The fire is being fought on a number of fronts and a police helicopter has been deployed to help survey the scene.,openai_curie,1.0,4.333333333333333,3.333333333333333,NO,NO,YES
